"","model","dgp_spec","sample","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"495","NN4_MAE","g3",1,1,0.1,0.0467489177844781,0.00465031755070142,0.0635750156408611,0.00776164670719188,0.0276621877205731,0.00172184596977111,0.0356871743778404,0.0659043124741352
"496","NN4_MAE","g3",1,1,1,0.0474691870795815,0.00471841197738049,0.0641891674445111,-0.0247256697632699,0.029039345926976,0.00181288715401818,0.0373298146601774,-0.00323519807489943
"497","NN4_MAE","g3",2,0,0,0.0569083122021178,0.00545867787256615,0.0738325166280768,-0.00133859056974326,0.0557172977064505,0.00511003346087821,0.0713101902075984,-0.00783876397149752
"498","NN4_MAE","g3",2,1,0.01,0.0416515733377576,0.00377952700893746,0.0563331937217235,0.00824161403252599,0.038497807212435,0.00299164278101494,0.0492942524833065,0.016779179408602
"499","NN4_MAE","g3",2,1,0.1,0.0413194319555356,0.00374675495883889,0.0560026196538395,0.0231218815755461,0.0382113865270059,0.00295740236291532,0.0489347684752056,0.0312192786580486
"500","NN4_MAE","g3",2,1,1,0.0423066670381809,0.00383527100568415,0.0569117140688898,-0.0170164093692911,0.0392987352359928,0.0030561572468753,0.0500941863448534,-0.00089610010504888
"501","NN4_MAE","g3",3,0,0,0.0566706482594386,0.00539049828147713,0.0733599158315847,-0.00397599695744686,0.0552441148486145,0.00509312905048385,0.0713454053398692,-0.00192124832303044
"502","NN4_MAE","g3",3,1,0.01,0.0405198130556348,0.0035895884934826,0.0549165705845496,0.00892538388633093,0.0432986495599739,0.00346441944544973,0.0561569329919328,0.00163740141696236
"503","NN4_MAE","g3",3,1,0.1,0.0398976379060432,0.00353550646516063,0.0542794944545741,0.0436055170759259,0.0429453987216572,0.00340691143544966,0.0556996916059077,0.0159881643770296
"504","NN4_MAE","g3",3,1,1,0.0410420722093186,0.0036232658640281,0.0553767027920775,-0.00454469967234841,0.0435658831403548,0.00349236715360992,0.0564151293917785,-0.00153147663769808
"505","NN5_MSE","g1",1,0,0,0.057798390151297,0.00562656871460285,0.0749537774001659,-0.0159926020729526,0.0571204089468403,0.00541153655745211,0.0734665263565942,-0.0288624608701044
"506","NN5_MSE","g1",1,1,0.01,0.0479734533625229,0.00476740631811133,0.0646425924445465,-0.0266911971773952,0.0289874633508384,0.00181145789321143,0.0373325426932152,-0.0968209745775964
"507","NN5_MSE","g1",1,1,0.1,0.0475084552304029,0.0047138233094827,0.0641820284368311,-0.00978642402519854,0.0288354993945385,0.00181342050823319,0.0371941064294409,-0.0582843669678553
"508","NN5_MSE","g1",1,1,1,0.0478666096908821,0.0047438012793373,0.0645680615566997,-0.0391976162587376,0.0292726340110678,0.00185001054264064,0.0376918982429237,-0.0308182120621538
"509","NN5_MSE","g1",2,0,0,0.0577239779158472,0.00560476974243403,0.0748135198661025,-0.0152539105438798,0.0557301411902337,0.00513843626662467,0.0714815854928132,-0.0197771753163973
"510","NN5_MSE","g1",2,1,0.01,0.0421673006361945,0.00384004286004318,0.0568983761142401,-0.00529956379195056,0.038562132184868,0.00299372033818504,0.0493678287588069,-0.00554172339738916
"511","NN5_MSE","g1",2,1,0.1,0.0423241038494375,0.00383744682492069,0.0570122824196922,-0.016030061151709,0.0390509907664292,0.00302357294156278,0.0498319696796336,-0.0367775827899215
"512","NN5_MSE","g1",2,1,1,0.0421508432883774,0.00381789849537717,0.0567929161322248,-0.00270462921595902,0.0393985010814615,0.00305999841477459,0.0501346968162719,-0.00303209149891193
"513","NN5_MSE","g1",3,0,0,0.0573390109092161,0.00551335392986451,0.0741928828584631,-0.0136931828904326,0.0557988467618029,0.00517486643063785,0.0718942290071587,-0.0169107358500496
"514","NN5_MSE","g1",3,1,0.01,0.0422717169972754,0.00370974021819385,0.0567560702219482,-0.139576596585032,0.0441422859577774,0.0035487338330677,0.0570963146770257,-0.0475474619591674
