"","model","dgp_spec","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare","validation_MAE_ave","validation_MSE_ave","validation_RMSE_ave","validation_RSquare_ave","test_MAE_ave","test_MSE_ave","test_RMSE_ave","test_RSquare_ave"
"43","RF_MSE","g3",1,0.01,0.0421783469442936,0.00394007854191661,0.0575424437120247,0.0491840790935313,0.0358032440346399,0.00266132945247528,0.046285912614518,0.0702976854902802,0.0421766707978372,0.00393991823127004,0.0575282890362008,0.0508252518994153,0.035765450808686,0.00266313491893417,0.0462657436683841,0.0671127008975126
"44","RF_MSE","g3",1,0.1,0.0421970201321569,0.00394129618892475,0.0575491685371414,0.0457344998385267,0.0358666064556951,0.0026703515255884,0.0463800259651326,0.0628385755940046,0.0421966196879748,0.0039426749120798,0.0575416212006033,0.048780162838397,0.0357735169192735,0.00266255220079283,0.0462609048643539,0.0662385454648378
"45","RF_MSE","g3",1,1,0.0424922874463545,0.00396095533577916,0.057811171266422,0.036202747512148,0.0362129088546612,0.00269519549102491,0.0467503613943452,0.069886811795352,0.0424287429457477,0.00395644256949403,0.0577422070261973,0.0397275528856068,0.0361449148905112,0.00269207634454907,0.0466729883332893,0.0652547935127505
"46","RF_MAE","g1",1,0.01,0.0420116109846927,0.00392328734939894,0.0573661640632856,0.0656997335992776,0.0354594327904976,0.00264339787446767,0.0459495720931419,0.0833384585755156,0.0419640330124701,0.00392126928920003,0.0573326346146518,0.0603544605042584,0.0354732404684493,0.00263948592349165,0.0459394451928635,0.0858401416710392
"47","RF_MAE","g1",1,0.1,0.0420531012712222,0.00392618226677139,0.0574045675490281,0.0629456904970781,0.0355152975205865,0.00264889565577944,0.0460293116570241,0.0814252789650479,0.0419741480987994,0.00391858871139501,0.0573215748187129,0.0585272888772288,0.0355245055870481,0.0026424025833375,0.0459871934783132,0.0821575699156008
"48","RF_MAE","g1",1,1,0.0422579774404684,0.00393645301509989,0.0575753000320181,0.0557707748915633,0.0359158000239597,0.00267469782200883,0.0464325575562802,0.0870805973730103,0.0421224360674498,0.00392239391542692,0.0574269055921895,0.0539714655319876,0.0358707033638335,0.00266594502005051,0.0463634042392087,0.081134306861666
"49","RF_MAE","g2",1,0.01,0.0418805203823695,0.00391513372533753,0.0572400692585713,0.0587774866386148,0.0354203833144107,0.00263048908075777,0.0458429020016767,0.0876529114385328,0.0419640330124701,0.00392126928920003,0.0573326346146518,0.0603544605042584,0.0354732404684493,0.00263948592349165,0.0459394451928635,0.0858401416710392
"50","RF_MAE","g2",1,0.1,0.0419000664760338,0.00391107721172136,0.0572188682796566,0.0575395397719946,0.0354893721369285,0.00263449630779485,0.0458878230204204,0.0834048454294088,0.0419741480987994,0.00391858871139501,0.0573215748187129,0.0585272888772288,0.0355245055870481,0.0026424025833375,0.0459871934783132,0.0821575699156008
"51","RF_MAE","g2",1,1,0.0419042552140254,0.00390593740652306,0.0572085644842121,0.0565750127352654,0.0356433824306962,0.00264448950822095,0.0460612739144582,0.0809650694079148,0.0421224360674498,0.00392239391542692,0.0574269055921895,0.0539714655319876,0.0358707033638335,0.00266594502005051,0.0463634042392087,0.081134306861666
"52","RF_MAE","g3",1,0.01,0.041999967670348,0.00392538679286363,0.0573916705220986,0.0565861612748828,0.0355399053004394,0.00264457081524952,0.046025861483772,0.0865290549990693,0.0419640330124701,0.00392126928920003,0.0573326346146518,0.0603544605042584,0.0354732404684493,0.00263948592349165,0.0459394451928635,0.0858401416710392
"53","RF_MAE","g3",1,0.1,0.0419692765491422,0.00391850665569228,0.057341288627454,0.0550966363626137,0.0355688471036294,0.0026438157864382,0.0460444457574951,0.0816425853523457,0.0419741480987994,0.00391858871139501,0.0573215748187129,0.0585272888772288,0.0355245055870481,0.0026424025833375,0.0459871934783132,0.0821575699156008
"54","RF_MAE","g3",1,1,0.0422050755478557,0.00392479132465783,0.0574968522603384,0.0495686089691339,0.0360529276368446,0.00267864772992176,0.0465963812468876,0.0753572538040729,0.0421224360674498,0.00392239391542692,0.0574269055921895,0.0539714655319876,0.0358707033638335,0.00266594502005051,0.0463634042392087,0.081134306861666
"55","NN1_MSE","g1",1,0.01,0.0430007777124802,0.00401673549260548,0.0582845381615078,0.0222788542053777,0.0364515814324377,0.00272185290726886,0.0470343765724463,0.0163443477799644,0.043116284840586,0.00402022291216292,0.0583683927296515,0.00836871494599273,0.0366355738970703,0.00273071570165494,0.0472094425299822,0.00725414052182159
"56","NN1_MSE","g1",1,0.1,0.042968351737317,0.00400907093686461,0.0582295202260579,0.0233164119933413,0.0364624496918086,0.00271908356629831,0.0470146975694203,0.0204223405075914,0.0431085115451072,0.00401495740523889,0.0583318172394273,0.00715389661925338,0.0366571027814615,0.0027302453048574,0.0472172718206632,0.00537285042101192
"57","NN1_MSE","g1",1,1,0.0436108395528778,0.00407335829936102,0.0589078539600998,-0.00594376976712228,0.0375451586648611,0.00282055715288613,0.0482350810547326,-0.0144520169200136,0.043437843009557,0.00404336037169895,0.0586698786692491,-0.00809461075044902,0.0373510987370178,0.00279395581059287,0.048000982850455,-0.0138727456639573
"58","NN1_MSE","g2",1,0.01,0.0431978918010127,0.00402109018395718,0.0583874504697999,-0.000249859017964275,0.036767749353258,0.00273188108260008,0.0472964512679141,-0.00391737886270827,0.043116284840586,0.00402022291216292,0.0583683927296515,0.00836871494599273,0.0366355738970703,0.00273071570165494,0.0472094425299822,0.00725414052182159
