yyyymm,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
197401,0.0608,0.0002,0.0037,270.8054
197402,0.061,0.0049,0.0059,268.313
197403,0.0616,0.0096,-0.0297,263.3733
197404,0.0592,-0.0392,-0.04,285.5915
197405,0.0532,-0.1015,-0.1063,353.6263
197406,0.0421,-0.2102,-0.1369,563.8577
197407,0.0394,-0.0724,-0.064,645.4005
197408,0.0354,-0.1101,-0.1031,799.2393
197409,0.0321,-0.1035,-0.0723,969.2521
197410,0.0405,0.2453,0.275,610.7572
197411,0.0404,-0.0107,-0.0029,614.0525
197412,0.0372,-0.0874,-0.0651,724.3574
197501,0.0453,0.2101,0.2351,486.4194
197502,0.0436,-0.0428,-0.0445,525.0408
197503,0.0455,0.0374,0.0039,482.0331
197504,0.0487,0.0644,0.0762,421.2562
197505,0.0496,0.0139,0.0191,406.7325
197506,0.0516,0.037,0.0964,375.6953
197507,0.0479,-0.0743,-0.0734,435.9156
197508,0.0449,-0.0667,-0.0646,496.0415
197509,0.0391,-0.1342,-0.1373,653.2799
197510,0.0398,0.0092,0.0227,630.3657
197511,0.042,0.0468,0.0567,566.0923
197512,0.0412,-0.0276,0.0175,590.0998
197601,0.0465,0.1227,0.1378,461.8577
197602,0.0473,0.0118,0.0218,446.9185
197603,0.0504,0.0606,0.0663,393.9931
197604,0.0493,-0.0236,-0.0202,410.6307
197605,0.0485,-0.0217,-0.0166,425.937
197606,0.0512,0.0524,0.086,381.6905
197607,0.0497,-0.0314,-0.0287,404.481
197608,0.0474,-0.0509,-0.0477,445.7974
197609,0.0459,-0.0356,-0.0131,474.93
197610,0.0466,0.0107,0.0124,460.2507
197611,0.0457,-0.0247,-0.0184,479.1506
197612,0.048,0.0461,0.1324,433.557
197701,0.0454,-0.0596,-0.0565,486.0237
197702,0.0436,-0.0444,-0.0386,526.3447
197703,0.0423,-0.0365,-0.0216,559.683
197704,0.0418,-0.0174,-0.0091,571.5284
197705,0.0458,0.0882,-0.0191,476.2704
197706,0.0468,0.0165,0.0677,456.2955
197707,0.047,-0.0003,0.0078,452.3309
197708,0.0463,-0.0199,-0.0177,466.5097
197709,0.0434,-0.0682,-0.0225,531.7023
197710,0.0403,-0.0762,-0.0684,614.568
197711,0.0423,0.0414,0.0517,558.0029
197712,0.0389,-0.0891,-0.0242,662.3317
197801,0.0362,-0.0763,-0.067,761.3728
197802,0.0354,-0.0329,-0.0208,796.0843
197803,0.0368,0.0279,0.057,736.8426
197804,0.041,0.1021,0.1199,595.3001
197805,0.0412,-0.0013,0.0074,587.7173
